
Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 13:48:23 2022
Timers Off: Wed Jul 20 13:48:31 2022

Wall Time:        8.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.267u      0.000s      0.100w    187 calls
DIISManager::add_entry              :      0.017u      0.000s      0.010w    184 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.500u      0.033s      0.473w     24 calls
Grad: S                             :      0.017u      0.000s      0.003w     24 calls
Grad: JK                            :      2.050u      0.083s      0.645w     24 calls
JKGrad: Amn                         :      0.600u      0.033s      0.175w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.350u      0.017s      0.102w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.083u      0.000s      0.037w     24 calls
JKGrad: Amnx                        :      0.933u      0.017s      0.300w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.233u      0.000s      0.088w     24 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.061w     24 calls
DFH: initialize()                   :      0.900u      0.067s      0.303w     24 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.043w     72 calls
| DFH: AO Construction              :      0.200u      0.000s      0.074w     24 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.100u      0.000s      0.031w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w     24 calls
HF: Guess                           :      0.783u      0.033s      0.256w     24 calls
| SAD Guess                         :      0.717u      0.033s      0.243w     21 calls
HF: Form G                          :      0.233u      0.000s      0.048w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.233u      0.000s      0.045w    208 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.044w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.200u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.267u      0.000s      0.100w    187 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.010w    184 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.133u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.500u      0.033s      0.473w     24 calls
Grad: S                             :      0.017u      0.000s      0.003w     24 calls
Grad: JK                            :      2.050u      0.083s      0.645w     24 calls
| JKGrad: Amn                       :      0.600u      0.033s      0.175w     24 calls
| | Libint2ERI::Libint2ERI          :      0.217u      0.033s      0.086w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.350u      0.017s      0.102w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.083u      0.000s      0.037w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.933u      0.017s      0.300w     24 calls
| | Libint2ERI::Libint2ERI          :      0.333u      0.017s      0.086w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 15:03:24 2022
Timers Off: Wed Jul 20 15:03:32 2022

Wall Time:        7.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.033s      0.100w     24 calls
Libint2ERI::Libint2ERI              :      0.767u      0.017s      0.286w    288 calls
DFH: initialize()                   :      0.883u      0.067s      0.299w     24 calls
DFH: AO Construction                :      0.183u      0.000s      0.071w     24 calls
DFH: AO-Met. Contraction            :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.017s      0.033w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     24 calls
HF: Guess                           :      0.800u      0.133s      0.257w     24 calls
SAD Guess                           :      0.750u      0.133s      0.245w     21 calls
HF: Form G                          :      0.150u      0.000s      0.049w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.150u      0.000s      0.045w    208 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.045w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w    208 calls
DFH: compute_K                      :      0.133u      0.000s      0.035w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.317u      0.017s      0.102w    187 calls
DIISManager::add_entry              :      0.050u      0.017s      0.010w    184 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.009w    184 calls
bMatrix setup                       :      0.000u      0.000s      0.004w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.117u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.517u      0.050s      0.475w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.083u      0.050s      0.659w     24 calls
JKGrad: Amn                         :      0.517u      0.017s      0.173w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.400u      0.017s      0.105w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.019w     24 calls
JKGrad: ABx                         :      0.100u      0.017s      0.037w     24 calls
JKGrad: Amnx                        :      0.950u      0.000s      0.297w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.033s      0.100w     24 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.071w     24 calls
DFH: initialize()                   :      0.883u      0.067s      0.299w     24 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.042w     72 calls
| DFH: AO Construction              :      0.183u      0.000s      0.071w     24 calls
| DFH: AO-Met. Contraction          :      0.133u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.017s      0.033w     24 calls
HF: Form S/X                        :      0.000u      0.000s      0.006w     24 calls
HF: Guess                           :      0.800u      0.133s      0.257w     24 calls
| SAD Guess                         :      0.750u      0.133s      0.245w     21 calls
HF: Form G                          :      0.150u      0.000s      0.049w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.150u      0.000s      0.045w    208 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.045w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w    208 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.035w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.317u      0.017s      0.102w    187 calls
| DIISManager::add_entry            :      0.050u      0.017s      0.010w    184 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.009w    184 calls
| | bMatrix setup                   :      0.000u      0.000s      0.004w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.000u      0.000s      0.002w    184 calls
HF: Form C                          :      0.117u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.517u      0.050s      0.475w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.083u      0.050s      0.659w     24 calls
| JKGrad: Amn                       :      0.517u      0.017s      0.173w     24 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.084w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.400u      0.017s      0.105w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.019w     24 calls
| JKGrad: ABx                       :      0.100u      0.017s      0.037w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.950u      0.000s      0.297w     24 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.087w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: camilladeMacBook-Pro-2.local

Timers On : Wed Jul 20 15:04:09 2022
Timers Off: Wed Jul 20 15:04:16 2022

Wall Time:        7.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.217u      0.000s      0.077w     24 calls
Libint2ERI::Libint2ERI              :      0.733u      0.033s      0.269w    288 calls
DFH: initialize()                   :      0.900u      0.000s      0.289w     24 calls
DFH: AO Construction                :      0.200u      0.000s      0.070w     24 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.005w     24 calls
HF: Guess                           :      0.717u      0.000s      0.249w     24 calls
SAD Guess                           :      0.717u      0.000s      0.238w     21 calls
HF: Form G                          :      0.183u      0.017s      0.047w    208 calls
JK: D                               :      0.000u      0.000s      0.001w    208 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    208 calls
JK: JK                              :      0.133u      0.017s      0.043w    208 calls
DFH: compute_JK()                   :      0.133u      0.017s      0.043w    208 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    208 calls
DFH: compute_J                      :      0.017u      0.017s      0.006w    208 calls
DFH: compute_K                      :      0.117u      0.000s      0.033w    208 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.217u      0.050s      0.101w    187 calls
DIISManager::add_entry              :      0.033u      0.017s      0.010w    184 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.008w    184 calls
bMatrix setup                       :      0.000u      0.000s      0.003w    184 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w    184 calls
New vector                          :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.150u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.517u      0.033s      0.469w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.167s      0.638w     24 calls
JKGrad: Amn                         :      0.633u      0.000s      0.175w     24 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     24 calls
JKGrad: AB                          :      0.333u      0.050s      0.102w     24 calls
JKGrad: UV                          :      0.017u      0.000s      0.003w     24 calls
JKGrad: ABx                         :      0.133u      0.000s      0.036w     24 calls
JKGrad: Amnx                        :      0.883u      0.033s      0.291w     24 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.217u      0.000s      0.077w     24 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.050w     24 calls
DFH: initialize()                   :      0.900u      0.000s      0.289w     24 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.041w     72 calls
| DFH: AO Construction              :      0.200u      0.000s      0.070w     24 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.025w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.030w     24 calls
HF: Form S/X                        :      0.017u      0.000s      0.005w     24 calls
HF: Guess                           :      0.717u      0.000s      0.249w     24 calls
| SAD Guess                         :      0.717u      0.000s      0.238w     21 calls
HF: Form G                          :      0.183u      0.017s      0.047w    208 calls
| JK: D                             :      0.000u      0.000s      0.001w    208 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    208 calls
| JK: JK                            :      0.133u      0.017s      0.043w    208 calls
| | DFH: compute_JK()               :      0.133u      0.017s      0.043w    208 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    208 calls
| | | DFH: compute_J                :      0.017u      0.017s      0.006w    208 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.033w    208 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    208 calls
HF: Form F                          :      0.000u      0.000s      0.001w    208 calls
HF: Form D                          :      0.000u      0.000s      0.001w    208 calls
HF: DIIS                            :      0.217u      0.050s      0.101w    187 calls
| DIISManager::add_entry            :      0.033u      0.017s      0.010w    184 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.008w    184 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w    184 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w    184 calls
| | New vector                      :      0.017u      0.000s      0.002w    184 calls
HF: Form C                          :      0.150u      0.000s      0.043w    187 calls
Grad: V T Perturb                   :      1.517u      0.033s      0.469w     24 calls
Grad: S                             :      0.000u      0.000s      0.003w     24 calls
Grad: JK                            :      2.033u      0.167s      0.638w     24 calls
| JKGrad: Amn                       :      0.633u      0.000s      0.175w     24 calls
| | Libint2ERI::Libint2ERI          :      0.333u      0.000s      0.087w     48 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     24 calls
| JKGrad: AB                        :      0.333u      0.050s      0.102w     24 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     48 calls
| JKGrad: UV                        :      0.017u      0.000s      0.003w     24 calls
| JKGrad: ABx                       :      0.133u      0.000s      0.036w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.001w     48 calls
| JKGrad: Amnx                      :      0.883u      0.033s      0.291w     24 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.033s      0.089w     48 calls
Grad: XC                            :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************
